Timestamp,UUID,Who would you most want to have dinner with?,I believe AGI is likely within the next 10 years.,I would most want to work at:,I prefer working solo rather than on large collaborations.,Your model training style is closest to:,Most current AI benchmarks are meaningless.,Your research style is most like:,We should slow down AI progress until safety is better understood.,I believe creativity is more important than rigor in research.,Your favorite kind of contribution:,"If my paper gets rejected, I assume the reviewers misunderstood it.","I regularly abandon ideas that don’t show quick promise.
",What is your favorite ML related podcast?,I’d rather build a working prototype than write a perfect paper.,What is the primary bottleneck right now?,Which statement do you most agree with?,What are you interested in outside of your research and career?,What is your field of research and what field are you most interested in branching out into?,"I want to be e-mailed about future matches with people attending other AI research conferences (ICLR, CVPR, ICML, etc.)."
12/3/2025 18:19:27,61dc6726-ed49-6c70-b016-92746e889269,Demis Hassabis,4,Google DeepMind,4,"Train now, analyze later",3,Synthesizer: I connect ideas from many fields,2,3,Deep theoretical insight,3,2,Latent Space,3,"Intelligence: The models aren't actually smart, they just memorize.",Solving protein folding is worth more than a better chatbot.,"Qi Gong, Martial Arts, Poetry, Arts","Computational biology, translational medicine. Interested in branching out into frontier AI",Yes
12/3/2025 18:47:50,2c15f213-f708-b74f-7112-6f3c2bc262a5,Geoffrey Hinton,2,Research lab at a top university,2,Grid search and prayer,4,Theorist: math is the real lens of truth,4,3,Deep theoretical insight,1,2,Machine Learning Street Talk,3,Data: We have run out of quality human text.,Inductive bias is not a dirty word.,Writing papers,Neurosymbolic learning,No
12/3/2025 18:48:09,58330c55-5df4-4d0f-7ce1-9e7aa18d8373,François Chollet,4,Mid-sized Startup,4,Grid search and prayer,3,"Philosopher: abstract, first-principles reasoning",3,3,Deep theoretical insight,2,3,Machine Learning Street Talk,4,"Intelligence: The models aren't actually smart, they just memorize.",Inductive bias is not a dirty word.,,,Yes
12/3/2025 18:57:02,4e6e416f-b17f-36bd-e9e5-b014f467e66f,Andrej Karpathy,3,My Own Startup,3,"Train now, analyze later",4,Engineer: build systems that actually work,2,3,Codebase that actually runs,3,3,Machine Learning Street Talk,4,Data: We have run out of quality human text.,Inductive bias is not a dirty word.,Cars,Machine Learning Systems,Yes
12/3/2025 19:19:38,be31c960-c119-ff4c-0f88-66a1432b3448,Elon Musk,5,My Own Startup,5,"Train now, analyze later",5,Engineer: build systems that actually work,1,5,Meme-worthy figures,5,1,No Priors,5,Energy: We can't build power plants fast enough.,"If it doesn't fit on a single GPU, it doesn't exist.","Solving problems and making people actually happier instead of the consensus of ""good""","Nlp, most interested in automous learning ",Yes
12/3/2025 19:21:25,6f945cd9-59d5-062d-3345-5d2b690fa3a7,Andrew Ng,4,Research lab at a top university,4,Grid search and prayer,4,"Hacker: try stuff, see what sticks",4,4,Codebase that actually runs,2,4,None,5,Data: We have run out of quality human text.,"We are hitting the data wall, reasoning is the new frontier.",Cosplaying as an anthropomorphic character (I'm a furry) and traveling around specially if I get to meet the locals and learn more about their culture and country.,"LLM routing and LLM as a judge are what I'm working on right now, however I'd love to start working on applications of AI in biology/medicine.",Yes
12/3/2025 21:21:34,76699fe8-9ee1-6af8-479c-a1cf73452228,Demis Hassabis,4,My Own Startup,2,"Train now, analyze later",5,Engineer: build systems that actually work,2,3,New model architecture,1,1,Interconnects,5,"Intelligence: The models aren't actually smart, they just memorize.","We are hitting the data wall, reasoning is the new frontier.",Sports,Cooperative agents. AI safety,Yes
12/4/2025 1:37:52,df01d838-1e11-5828-2566-2f3119df3a6d,Ilya Sutskever,4,Google DeepMind,1,Careful tuning of every hyperparameter,3,Engineer: build systems that actually work,3,3,Codebase that actually runs,3,4,The Dwarkesh Podcast,4,"Intelligence: The models aren't actually smart, they just memorize.",Inductive bias is not a dirty word.,running,"web agents, interpretability",No
12/4/2025 8:14:22,0b52dad1-1b84-f35d-1f48-035945cdd9c4,Geoffrey Hinton,2,Google DeepMind,2,Grid search and prayer,5,Synthesizer: I connect ideas from many fields,3,5,Better loss function,2,3,None,2,Data: We have run out of quality human text.,Inductive bias is not a dirty word.,,Cogsci,Yes
12/4/2025 8:58:54,46e4669e-f1b0-8e44-9fd4-6bec60eb66e8,Ilya Sutskever,4,Anthropic,3,Careful tuning of every hyperparameter,4,Engineer: build systems that actually work,2,4,Deep theoretical insight,2,2,Machine Learning Street Talk,3,"Intelligence: The models aren't actually smart, they just memorize.",Inductive bias is not a dirty word.,Photography,"AI Safety, reasoning, watermarking",Yes
